Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
42258533	RefSeq	NZ_AOSX01000029.2	325860	326609	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum Af84	Af84	GCF_000439815.2
42258533	RefSeq	NZ_CP013247.1	3392210	3392959	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	CDC_69094	GCF_001889345.1
42258533	RefSeq	NZ_CP013841.1	808891	809640	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	AM1051	GCF_002865805.1
42258533	RefSeq	NZ_CP013849.1	829988	830737	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	Mauritius	GCF_002865765.1
42258533	RefSeq	NZ_CP022400.1	854792	855541	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	Su0604	GCF_007833435.1
42258533	RefSeq	NZ_JACBBR010000002.1	257629	258378	-	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	KM65-1-Kingtn1A	GCF_019836685.1
42258533	RefSeq	NZ_JACBCL010000002.1	338595	339344	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	CSI-A-KM45-1	GCF_019837865.1
42258533	RefSeq	NZ_JAJHKL010000001.1	29470	30219	-	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	SCPM-O-B-8537	GCF_020819825.1
42258533	RefSeq	NZ_LFPL01000004.1	101178	101927	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	Mauritius	GCF_001573825.1
42258533	RefSeq	NZ_LFPO01000001.1	63559	64308	-	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	SU1306	GCF_001573905.1
42258533	RefSeq	NZ_LFPV01000003.1	325931	326680	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	SU1304	GCF_001574055.1
42258533	RefSeq	NZ_LFQV01000006.1	85955	86704	+	WP_021107412.1	nitrogenase iron protein NifH	Clostridium botulinum	CDC 795	GCF_001573555.1
